target_url,base_domain,branch,agency,agency_code,bureau,bureau_code,source_list_federal_domains,source_list_dap,source_list_pulse,source_list_other,is_gov
acdwg.od.nih.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acebasin.fws.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acedashboard.cbp.dhs.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acedroid.fema.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acemission.gsfc.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
aces.sandia.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acf.bnl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acf.gov,,Executive,,,,,TRUE,FALSE,TRUE,FALSE,False
acf320.acf.hhs.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acf321.acf.hhs.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acfawspm.acf.hhs.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
ach.fcc.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
achadmin.fcc.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
achilles.nascom.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
achp.gov,,Executive,,,,,TRUE,FALSE,TRUE,FALSE,False
aci.nichd.nih.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acims.faa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acis.aphis.edc.usda.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acistest.aphis.edc.usda.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
ack.usaccess.gsa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acme-dashboard-devel.llnl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acme-viewer.llnl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acme-workbench.llnl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acme.llnl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acme1.llnl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acms.acpt.research.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acms.aphis.usda.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acms.research.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acmt.bis.doc.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acocahps.cms.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acode-browser.usatlas.bnl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acode-browser2.usatlas.bnl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acoms-impl.cms.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acoms.cms.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acpbenefit.gov,,Executive,,,,,TRUE,FALSE,FALSE,FALSE,False
acpssw.gsfc.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acqstack-journeymap.18f.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acquisitiongateway.gov,,Executive,,,,,TRUE,FALSE,FALSE,FALSE,False
acres5.epa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acrf-campaign.arm.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acrt.ocfo.usda.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acrtpp.ocfo.usda.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acs.lbl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acsl.ars.usda.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
act-america.larc.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
act24.nci.nih.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
actinide.lbl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
actiontracker-jpss.nesdis.noaa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
activesync.hhs.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
activesync.hudoig.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
activesync.ofda.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
actlibrary.tc.faa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
actmeetingserver.hhs.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
actor.epa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
actorws.epa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
actribe.nsopw.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acts-fqt.etc.uspto.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acts.grc.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acts.uspto.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acus.gov,,Executive,,,,,TRUE,FALSE,TRUE,FALSE,False
acvts.nist.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
ad-esh.fnal.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
ad.hq.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adams.usss.dhs.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adamspublic.nrc.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adamswebsearch2.nrc.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adbio.pnnl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
adc-vpngw-01.fda.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
