target_url,source_list_final_url_websites
dw-dev.opm.gov,TRUE
faf.ornl.gov,TRUE
ofacp.nih.gov,TRUE
gh.usembassy.gov,TRUE
remote.opm.gov,TRUE
nci.llnl.gov,TRUE
xml.notams.faa.gov,TRUE
stagorise.orau.gov,TRUE
nida.nih.gov,TRUE
takeheart.ahrq.gov,TRUE
cms.gov,TRUE
artemis.wr.usgs.gov,TRUE
login.ezproxy.nihlibrary.nih.gov,TRUE
edit.testint.cbp.gov,TRUE
ttp.dhs.gov,TRUE
aws-bod1801.ornl.gov,TRUE
acppnm.ornl.gov,TRUE
web-old.ccs.ornl.gov,TRUE
data.pmel.noaa.gov,TRUE
imp2b.healthcare.gov,TRUE
tsaprecheckbytelos.tsa.dhs.gov,TRUE
inciweb.wildfire.gov,TRUE
finder.dev.healthcare.gov,TRUE
safetyscreening.ctss.nih.gov,TRUE
crucible.grantsolutions.gov,TRUE
wa-ut.ornl.gov,TRUE
sarcoma.cancer.gov,TRUE
ictbaseline.access-board.gov,TRUE
insp.pnnl.gov,TRUE
conservation.gov,TRUE
bo.usembassy.gov,TRUE
bensguide.gpo.gov,TRUE
topmed.nhlbi.nih.gov,TRUE
wcmsstg1-demo.dhs.gov,TRUE
webapps.ncua.gov,TRUE
humanfactors.arc.nasa.gov,TRUE
search.frtib.gov,TRUE
liangtan.lbl.gov,TRUE
nbk-dfw.fdicconnect.gov,TRUE
ohaz2apcn19.care2.va.gov,TRUE
odphp.health.gov,TRUE
nysact.ornl.gov,TRUE
ecos-beta.fws.gov,TRUE
webservice.ncjrs.gov,TRUE
apps.scms.psc.gov,TRUE
www-supernova.lbl.gov,TRUE
ncei.noaa.gov,TRUE
nimhnetprd.nimh.nih.gov,TRUE
partnergateway.llnl.gov,TRUE
timesheets.opm.gov,TRUE
vimssftp.lbl.gov,TRUE
sharingwith.niaid.nih.gov,TRUE
liteblue.usps.gov,TRUE
app.fac.gov,TRUE
no.ecit.anl.gov,TRUE
oos-pub.fnal.gov,TRUE
radar-qa-cp.weather.gov,TRUE
wildfire.gov,TRUE
impl2b.dsrs.api.healthcare.gov,TRUE
services.podaac.earthdata.nasa.gov,TRUE
workplace.dhs.gov,TRUE
artrosenfeld.lbl.gov,TRUE
cedar.opm.gov,TRUE
search.girlshealth.gov,TRUE
usvi.nsopw.gov,TRUE
aimsdtn5.llnl.gov,TRUE
cint.lanl.gov,TRUE
portal.cnap.dso.mil,TRUE
login.dso.mil,TRUE
radar.epa.gov,TRUE
combustiontools.llnl.gov,TRUE
hpc4energyinnovation.llnl.gov,TRUE
escs.opm.gov,TRUE
forfeiture.gov,TRUE
public-sans.digital.gov,TRUE
bil.usajobs.gov,TRUE
testint-studyinthestates.dhs.gov,TRUE
earth.gsfc.nasa.gov,TRUE
nlmdirector.nlm.nih.gov,TRUE
misse1.larc.nasa.gov,TRUE
test5.dsrs.api.healthcare.gov,TRUE
weatherization.ornl.gov,TRUE
teopf.opm.gov,TRUE
uat0.healthcare.gov,TRUE
iam.cancer.gov,TRUE
almpt.csd.disa.mil,TRUE
fed.opm.gov,TRUE
uspsoig.gov,TRUE
d17.domain9.dcdt31.healthit.gov,TRUE
st.llnl.gov,TRUE
e-qiptraining.opm.gov,TRUE
dds.mil,TRUE
aesics.cr.usgs.gov,TRUE
sakdot.usps.gov,TRUE
sso.orr.noaa.gov,TRUE
lists.cels.anl.gov,TRUE
doi.usajobs.gov,TRUE
studyinthestates.dhs.gov,TRUE
opticaudio.ctss.nih.gov,TRUE
ladsweb.modaps.eosdis.nasa.gov,TRUE
foundry.lbl.gov,TRUE
congress.gov,TRUE
neutrons.ornl.gov,TRUE
pages.18f.gov,TRUE
apps-st.fisheries.noaa.gov,TRUE
ftmaint1.fnal.gov,TRUE
portal.nhtsa.gov,TRUE
radiate.fnal.gov,TRUE
blog.response.restoration.noaa.gov,TRUE
rotc.llnl.gov,TRUE
whfdr.opm.gov,TRUE
login.diver.orr.noaa.gov,TRUE
devapply.grants.gov,TRUE
jobs.bnl.gov,TRUE
products.coastalscience.noaa.gov,TRUE
seedv2.lbl.gov,TRUE
minutes.frtib.gov,TRUE
12af.acc.af.mil,TRUE
