target_url,agency,bureau,Office,source_list_public_inventory
seafoodinspection.nmfs.noaa.gov,Department of Commerce,NOAA,,TRUE
seagrant.noaa.gov,Department of Commerce,NOAA,,TRUE
secatchshares.fisheries.noaa.gov,Department of Commerce,NOAA,,TRUE
shield.gfdl.noaa.gov,Department of Commerce,NOAA,,TRUE
shoreline.noaa.gov,Department of Commerce,NOAA,,TRUE
sift.pmel.noaa.gov,Department of Commerce,NOAA,,TRUE
sites.gsl.noaa.gov,Department of Commerce,NOAA,,TRUE
slosh.nws.noaa.gov,Department of Commerce,NOAA,,TRUE
sord.nv.doe.gov,Department of Commerce,NOAA,,TRUE
sos.noaa.gov,Department of Commerce,NOAA,,TRUE
space.commerce.gov,Department of Commerce,NOAA,,TRUE
spaceweather.gov,Department of Commerce,NOAA,,TRUE
spc.noaa.gov,Department of Commerce,NOAA,,TRUE
spo.nmfs.noaa.gov,Department of Commerce,NOAA,,TRUE
spot.weather.gov,Department of Commerce,NOAA,,TRUE
ssd.noaa.gov,Department of Commerce,NOAA,,TRUE
star.nesdis.noaa.gov,Department of Commerce,NOAA,,TRUE
stateoftheocean.osmc.noaa.gov,Department of Commerce,NOAA,,TRUE
stellwagen.noaa.gov,Department of Commerce,NOAA,,TRUE
storm.aoml.noaa.gov,Department of Commerce,NOAA,,TRUE
storms.ngs.noaa.gov,Department of Commerce,NOAA,,TRUE
stormscdn.ngs.noaa.gov,Department of Commerce,NOAA,,TRUE
swfsc-publications.fisheries.noaa.gov,Department of Commerce,NOAA,,TRUE
sworm.gov,Department of Commerce,NOAA,,TRUE
swpc.noaa.gov,Department of Commerce,NOAA,,TRUE
tao.ndbc.noaa.gov,Department of Commerce,NOAA,,TRUE
tap.orr.noaa.gov,Department of Commerce,NOAA,,TRUE
techpartnerships.noaa.gov,Department of Commerce,NOAA,,TRUE
testbed.aviationweather.gov,Department of Commerce,NOAA,,TRUE
testbeds.noaa.gov,Department of Commerce,NOAA,,TRUE
thunderbay.noaa.gov,Department of Commerce,NOAA,,TRUE
tidesandcurrents.noaa.gov,Department of Commerce,NOAA,,TRUE
token.gfdl.noaa.gov,Department of Commerce,NOAA,,TRUE
toolkit.climate.gov,Department of Commerce,NOAA,,TRUE
training.weather.gov,Department of Commerce,NOAA,,TRUE
tsunami.coast.noaa.gov,Department of Commerce,NOAA,,TRUE
tsunami.gov,Department of Commerce,NOAA,,TRUE
tsunami.noaa.gov,Department of Commerce,NOAA,,TRUE
tsunami-cp.ncep.noaa.gov,Department of Commerce,NOAA,,TRUE
usicecenter.gov,Department of Commerce,NOAA,,TRUE
vdatum.noaa.gov,Department of Commerce,NOAA,,TRUE
videos.fisheries.noaa.gov,Department of Commerce,NOAA,,TRUE
viewer.weather.noaa.gov,Department of Commerce,NOAA,,TRUE
viz.pmel.noaa.gov,Department of Commerce,NOAA,,TRUE
vlab.noaa.gov,Department of Commerce,NOAA,,TRUE
vms.nmfs.noaa.gov,Department of Commerce,NOAA,,TRUE
voices.nmfs.noaa.gov,Department of Commerce,NOAA,,TRUE
vos.noaa.gov,Department of Commerce,NOAA,,TRUE
water.noaa.gov,Department of Commerce,NOAA,,TRUE
weather.gov,Department of Commerce,NOAA,,TRUE
webapps.nwfsc.noaa.gov,Department of Commerce,NOAA,,TRUE
webeast.ngs.noaa.gov,Department of Commerce,NOAA,,TRUE
webform.pier.seagrant.noaa.gov,Department of Commerce,NOAA,,TRUE
wof.nssl.noaa.gov,Department of Commerce,NOAA,,TRUE
wpc.ncep.noaa.gov,Department of Commerce,NOAA,,TRUE
wpo.noaa.gov,Department of Commerce,NOAA,,TRUE
broadbandusa.ntia.gov,Department of Commerce,NTIA,,TRUE
cscrip.ntia.gov,Department of Commerce,NTIA,,TRUE
grants.ntia.gov,Department of Commerce,NTIA,,TRUE
its.ntia.gov,Department of Commerce,NTIA,,TRUE
ntia.gov,Department of Commerce,NTIA,,TRUE
www2.ntia.gov,Department of Commerce,NTIA,,TRUE
dblease.ntis.gov,Department of Commerce,NTIS,,TRUE
dmf.ntis.gov,Department of Commerce,NTIS,,TRUE
dmfcert.ntis.gov,Department of Commerce,NTIS,,TRUE
ladmf.ntis.gov,Department of Commerce,NTIS,,TRUE
ntis.gov,Department of Commerce,NTIS,,TRUE
ntrl.ntis.gov,Department of Commerce,NTIS,,TRUE
ptoft.ntis.gov,Department of Commerce,NTIS,,TRUE
srs.ntis.gov,Department of Commerce,NTIS,,TRUE
2001-2009.commerce.gov,Department of Commerce,OS,,TRUE
2010-2014.commerce.gov,Department of Commerce,OS,,TRUE
2014-2017.commerce.gov,Department of Commerce,OS,,TRUE
2017-2021.commerce.gov,Department of Commerce,OS,,TRUE
cldp.doc.gov,Department of Commerce,OS,,TRUE
commerce.gov,Department of Commerce,OS,,TRUE
data.commerce.gov,Department of Commerce,OS,,TRUE
mbda.data.commerce.gov,Department of Commerce,OS,,TRUE
oig.doc.gov,Department of Commerce,OS,,TRUE
socmed.commerce.gov,Department of Commerce,OS,,TRUE
assignment.uspto.gov,Department of Commerce,USPTO,,TRUE
certifiedcopycenter.uspto.gov,Department of Commerce,USPTO,,TRUE
developer.uspto.gov,Department of Commerce,USPTO,,TRUE
eog-tmng.uspto.gov,Department of Commerce,USPTO,,TRUE
estta.uspto.gov,Department of Commerce,USPTO,,TRUE
fees.uspto.gov,Department of Commerce,USPTO,,TRUE
globaldossier.uspto.gov,Department of Commerce,USPTO,,TRUE
idm-tmng.uspto.gov,Department of Commerce,USPTO,,TRUE
ipidentifier.uspto.gov,Department of Commerce,USPTO,,TRUE
mpep.uspto.gov,Department of Commerce,USPTO,,TRUE
my.uspto.gov,Department of Commerce,USPTO,,TRUE
oedci.uspto.gov,Department of Commerce,USPTO,,TRUE
patentcenter.uspto.gov,Department of Commerce,USPTO,,TRUE
ppubs.uspto.gov,Department of Commerce,USPTO,,TRUE
seqdata.uspto.gov,Department of Commerce,USPTO,,TRUE
tbmp.uspto.gov,Department of Commerce,USPTO,,TRUE
tfsr.uspto.gov,Department of Commerce,USPTO,,TRUE
tmdesigncodes.uspto.gov,Department of Commerce,USPTO,,TRUE
tmep.uspto.gov,Department of Commerce,USPTO,,TRUE
tmsearch.uspto.gov,Department of Commerce,USPTO,,TRUE
trademarkcenter.uspto.gov,Department of Commerce,USPTO,,TRUE
tsdr.uspto.gov,Department of Commerce,USPTO,,TRUE
ttabvue.uspto.gov,Department of Commerce,USPTO,,TRUE
uspto.gov,Department of Commerce,USPTO,,TRUE
www-search.uspto.gov,Department of Commerce,USPTO,,TRUE
dhs.gov,Department of Homeland Security,Headquarters (DHS HQ),Office of Public Affairs,TRUE
cisa.gov,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency (CISA),Office of External Affairs,TRUE
fema.gov,Department of Homeland Security,Federal Emergency Management Agency (FEMA),Office of External Affairs,TRUE
fletc.gov,Department of Homeland Security,Federal Law Enforcement Training Center (FLETC),Office of Public Affairs,TRUE
tsa.gov,Department of Homeland Security,Transportation Security Administration (TSA),Strategic Communications and Public Affairs,TRUE
uscis.gov,Department of Homeland Security,U.S. Citizenship and Immigration Services (USCIS),Office of Access and Information Services,TRUE
uscg.mil,Department of Homeland Security,U.S. Coast Guard (USCG),Office of Public Affairs,TRUE
cbp.gov,Department of Homeland Security,U.S. Customs and Border Protection (CBP),Office of Public Affairs,TRUE
ice.gov,Department of Homeland Security,U.S. Immigration and Customs Enforcement (ICE),Office of Public Affairs,TRUE
secretservice.gov,Department of Homeland Security,United States Secret Service (USSS),Communication and Media Relations,TRUE
get.gov,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency (CISA),,TRUE
niccs.cisa.gov,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency (CISA),,TRUE
schoolsafety.gov,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency (CISA),,TRUE
apps.usfa.fema.gov,Department of Homeland Security,Federal Emergency Management Agency (FEMA),U.S. Fire Administration,TRUE
disasterassistance.gov,Department of Homeland Security,Federal Emergency Management Agency (FEMA),,TRUE
floodsmart.gov,Department of Homeland Security,Federal Emergency Management Agency (FEMA),National Flood Insurance Program,TRUE
hazards.fema.gov,Department of Homeland Security,Federal Emergency Management Agency (FEMA),,TRUE
msc.fema.gov,Department of Homeland Security,Federal Emergency Management Agency (FEMA),,TRUE
ready.gov,Department of Homeland Security,Federal Emergency Management Agency (FEMA),Office of External Affairs,TRUE
training.fema.gov,Department of Homeland Security,Federal Emergency Management Agency (FEMA),,TRUE
usfa.fema.gov,Department of Homeland Security,Federal Emergency Management Agency (FEMA),U.S. Fire Administration,TRUE
fleta.gov,Department of Homeland Security,Federal Law Enforcement Training Accreditation (FLETA),Office of Public Affairs,TRUE
ohss.dhs.gov,Department of Homeland Security,Headquarters (DHS HQ),Office of Homeland Security Statistics,TRUE
oig.dhs.gov,Department of Homeland Security,Office of Inspector General (OIG),Office of Public Affairs,TRUE
tsaenrollmentbyidemia.tsa.dhs.gov,Department of Homeland Security,Transportation Security Administration (TSA),,TRUE
egov.uscis.gov,Department of Homeland Security,U.S. Citizenship and Immigration Services (USCIS),Office of Access and Information Services,TRUE
e-verify.gov,Department of Homeland Security,U.S. Citizenship and Immigration Services (USCIS),Immigration Records and Identity Services,TRUE
my.uscis.gov,Department of Homeland Security,U.S. Citizenship and Immigration Services (USCIS),Office of Access and Information Services,TRUE
myeverify.uscis.gov,Department of Homeland Security,U.S. Citizenship and Immigration Services (USCIS),Immigration Records and Identity Services,TRUE
bwt.cbp.gov,Department of Homeland Security,U.S. Customs and Border Protection (CBP),Office of Field Operations,TRUE
careers.cbp.gov,Department of Homeland Security,U.S. Customs and Border Protection (CBP),Office of Human Resources Management,TRUE
dtops.cbp.dhs.gov,Department of Homeland Security,U.S. Customs and Border Protection (CBP),Office of Field Operations,TRUE
esta.cbp.dhs.gov,Department of Homeland Security,U.S. Customs and Border Protection (CBP),Office of Field Operations,TRUE
evus.gov,Department of Homeland Security,U.S. Customs and Border Protection (CBP),Office of Field Operations,TRUE
help.cbp.gov,Department of Homeland Security,U.S. Customs and Border Protection (CBP),Office of Public Affairs,TRUE
i94.cbp.dhs.gov,Department of Homeland Security,U.S. Customs and Border Protection (CBP),Office of Field Operations,TRUE
rulings.cbp.gov,Department of Homeland Security,U.S. Customs and Border Protection (CBP),Office of Field Operations,TRUE
ttp.dhs.gov,Department of Homeland Security,U.S. Customs and Border Protection (CBP),Office of International Affairs,TRUE
portal.ice.gov,Department of Homeland Security,U.S. Immigration and Customs Enforcement (ICE),,TRUE
studyinthestates.dhs.gov,Department of Homeland Security,U.S. Immigration and Customs Enforcement (ICE),,TRUE
tripwire.dhs.gov,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency (CISA),,TRUE
zerotrust.cyber.gov,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency (CISA),,TRUE
agents.floodsmart.gov,Department of Homeland Security,Federal Emergency Management Agency (FEMA),National Flood Insurance Program,TRUE
cdp.dhs.gov,Department of Homeland Security,Federal Emergency Management Agency (FEMA),,TRUE
firstrespondertraining.gov,Department of Homeland Security,Federal Emergency Management Agency (FEMA),,TRUE
floodmaps.fema.gov,Department of Homeland Security,Federal Emergency Management Agency (FEMA),National Flood Insurance Program,TRUE
go.fema.gov,Department of Homeland Security,Federal Emergency Management Agency (FEMA),,TRUE
nfipdirect.fema.gov,Department of Homeland Security,Federal Emergency Management Agency (FEMA),National Flood Insurance Program,TRUE
preptoolkit.fema.gov,Department of Homeland Security,Federal Emergency Management Agency (FEMA),,TRUE
apfs-cloud.dhs.gov,Department of Homeland Security,Headquarters (DHS HQ),Office of the Chief Procurement Officer,TRUE
go.dhs.gov,Department of Homeland Security,Headquarters (DHS HQ),Office of Public Affairs,TRUE
juntos.gov,Department of Homeland Security,Headquarters (DHS HQ),Office of the Chief Informaton Officer,TRUE
myoido.dhs.gov,Department of Homeland Security,Headquarters (DHS HQ),Office of the Immigration Detention Ombudsman,TRUE
niem.gov,Department of Homeland Security,Headquarters (DHS HQ),Science and Technology Directorate,TRUE
release.niem.gov,Department of Homeland Security,Headquarters (DHS HQ),Science and Technology Directorate,TRUE
together.gov,Department of Homeland Security,Headquarters (DHS HQ),Office of the Chief Informaton Officer,TRUE
tools.niem.gov,Department of Homeland Security,Headquarters (DHS HQ),Science and Technology Directorate,TRUE
hotline.oig.dhs.gov,Department of Homeland Security,Office of Inspector General (OIG),Office of Public Affairs,TRUE
safetyact.gov,Department of Homeland Security,Science and Technology (S&T),Office of Innovation and Collaboration,TRUE
exis.tsa.dhs.gov,Department of Homeland Security,Transportation Security Administration (TSA),,TRUE
trip.dhs.gov,Department of Homeland Security,Transportation Security Administration (TSA),,TRUE
immvets.dhs.gov,Department of Homeland Security,U.S. Citizenship and Immigration Services (USCIS),Office of Access and Information Services,TRUE
save.uscis.gov,Department of Homeland Security,U.S. Citizenship and Immigration Services (USCIS),Immigration Records and Identity Services,TRUE
developer.nvmc.uscg.gov,Department of Homeland Security,U.S. Coast Guard (USCG),,TRUE
dhssans.nvmc.uscg.gov,Department of Homeland Security,U.S. Coast Guard (USCG),,TRUE
enoad.nvmc.uscg.gov,Department of Homeland Security,U.S. Coast Guard (USCG),,TRUE
navcen.uscg.gov,Department of Homeland Security,U.S. Coast Guard (USCG),,TRUE
awt.cbp.gov,Department of Homeland Security,U.S. Customs and Border Protection (CBP),Office of Field Operations,TRUE
e.cbp.dhs.gov,Department of Homeland Security,U.S. Customs and Border Protection (CBP),Office of Finance,TRUE
eallegations.cbp.gov,Department of Homeland Security,U.S. Customs and Border Protection (CBP),Office of Professional Responsibility,TRUE
erulings.cbp.gov,Department of Homeland Security,U.S. Customs and Border Protection (CBP),Office of Field Operations,TRUE
e-safe.cbp.dhs.gov,Department of Homeland Security,U.S. Customs and Border Protection (CBP),Office of Field Operations,TRUE
fincen105.cbp.dhs.gov,Department of Homeland Security,U.S. Customs and Border Protection (CBP),Office of Field Operations,TRUE
iprr.cbp.gov,Department of Homeland Security,U.S. Customs and Border Protection (CBP),Office of Trade,TRUE
iprs.cbp.gov,Department of Homeland Security,U.S. Customs and Border Protection (CBP),Office of Trade,TRUE
rsp.cbp.gov,Department of Homeland Security,U.S. Customs and Border Protection (CBP),Office of Field Operations,TRUE
eserviceregistration.ice.gov,Department of Homeland Security,U.S. Immigration and Customs Enforcement (ICE),,TRUE
join.ice.gov,Department of Homeland Security,U.S. Immigration and Customs Enforcement (ICE),,TRUE
locator.ice.gov,Department of Homeland Security,U.S. Immigration and Customs Enforcement (ICE),,TRUE
vinelink.dhs.gov,Department of Homeland Security,U.S. Immigration and Customs Enforcement (ICE),,TRUE
hud.gov,Department of Housing and Urban Development,Public Affairs,,TRUE
hudhomestore.gov,Department of Housing and Urban Development,Office of Housing,,TRUE
huduser.gov,Department of Housing and Urban Development,Policy Development and Research,,TRUE
answers.hud.gov,Department of Housing and Urban Development,Office of Housing,,TRUE
hudoig.gov,Department of Housing and Urban Development,Office of Inspector General,,TRUE
ginniemae.gov,Department of Housing and Urban Development,Government National Mortgage Association,,TRUE
resources.hud.gov,Department of Housing and Urban Development,Policy Development and Research,,TRUE
my.ginniemae.gov,Department of Housing and Urban Development,Government National Mortgage Association,,TRUE
archives.huduser.gov,Department of Housing and Urban Development,Policy Development and Research,,TRUE
archives.hud.gov,Department of Housing and Urban Development,Public Affairs,,TRUE
cpd2.hud.gov,Department of Housing and Urban Development,Community Planning and Development,,TRUE
data.hud.gov,Department of Housing and Urban Development,Policy Development and Research,,TRUE
entp.hud.gov,Department of Housing and Urban Development,Office of Housing,,TRUE
okta.hud.gov,Department of Housing and Urban Development,Office of the Chief Information Officer,,TRUE
drgr.hud.gov,Department of Housing and Urban Development,Community Planning and Development,,TRUE
hudapps.hud.gov,Department of Housing and Urban Development,Office of the Chief Information Officer,,TRUE
idis.hud.gov,Department of Housing and Urban Development,Community Planning and Development,,TRUE
esnaps.hud.gov,Department of Housing and Urban Development,Community Planning and Development,,TRUE
portalapps.hud.gov,Department of Housing and Urban Development,Office of the Chief Information Officer,,TRUE
heros.hud.gov,Department of Housing and Urban Development,Community Planning and Development,,TRUE
apps.hud.gov,Department of Housing and Urban Development,Office of Housing,,TRUE
egis.hud.gov,Department of Housing and Urban Development,Policy Development and Research,,TRUE
hudapps2.hud.gov,Department of Housing and Urban Development,Office of the Chief Information Officer,,TRUE
hudhousingcounselors.hud.gov,Department of Housing and Urban Development,Office of Housing,,TRUE
access.ginniemae.gov,Department of Housing and Urban Development,Government National Mortgage Association,,TRUE
aab.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,TRUE
above.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
access.earthdata.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
acd-ext.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Goddard Space Flight Center,,TRUE
acquisition.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
aero.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,TRUE
aerocenter.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
aeroelasticity.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,TRUE
aeronet.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
ahed.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
ai.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
airbornescience.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
aircrafticing.grc.nasa.gov,National Aeronautics and Space Administration,NASA Glenn Research Center,,TRUE
airmoss.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
airquality.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
airrange.ssc.nasa.gov,National Aeronautics and Space Administration,NASA Stennis Space Center,,TRUE
airs.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
airsar.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
airsea.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
airsnrt.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
akama.arc.nasa.gov,National Aeronautics and Space Administration,NASA Aeronautics Research Mission Directorate,,TRUE
ammos.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
analogstudies.jsc.nasa.gov,National Aeronautics and Space Administration,NASA Johnson Space Center,,TRUE
ao.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
aos.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
api.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,,TRUE
apod.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
appeears.earthdatacloud.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
appel.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Engineer,,TRUE
appliedsciences.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
apps.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,,TRUE
aqua.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
ares.jsc.nasa.gov,National Aeronautics and Space Administration,NASA Johnson Space Center,,TRUE
aria.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
aria-share.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
arthurhou.pps.eosdis.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
artifacts.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,,TRUE
asapdata.arc.nasa.gov,National Aeronautics and Space Administration,NASA Ames Research Center,,TRUE
asd.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
asdc.larc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
asp-archive.arc.nasa.gov,National Aeronautics and Space Administration,NASA Ames Research Center,,TRUE
asrs.arc.nasa.gov,National Aeronautics and Space Administration,NASA Aeronautics Research Mission Directorate,,TRUE
asterweb.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
astrobiology.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
astrobiology.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
astronautappearances.nasa.gov,National Aeronautics and Space Administration,NASA Johnson Space Center,,TRUE
atcsim.nasa.gov,National Aeronautics and Space Administration,NASA Ames Research Center,,TRUE
atmos.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
atmosphere-imager.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
ava.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
aviationsystems.arc.nasa.gov,National Aeronautics and Space Administration,NASA Ames Research Center,,TRUE
aviris.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
avirisng.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
blackmarble.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
bocachica.arc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
c3.ndc.nasa.gov,National Aeronautics and Space Administration,NASA Aeronautics Research Mission Directorate,,TRUE
c3rs.arc.nasa.gov,National Aeronautics and Space Administration,NASA Aeronautics Research Mission Directorate,,TRUE
calval.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
camp2ex.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
caps.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
carbon.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
cats.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
cce.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
cce-datasharing.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
cce-signin.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
ccmc.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
ccmpp.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Goddard Space Flight Center,,TRUE
cdaw.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
cdaweb.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
cddis.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
cdf.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
cdscc.nasa.gov,National Aeronautics and Space Administration,NASA Space Operations Mission Directorate,,TRUE
cearun.grc.nasa.gov,National Aeronautics and Space Administration,NASA Glenn Research Center,,TRUE
ceres.larc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
chapea.nasa.gov,National Aeronautics and Space Administration,NASA Johnson Space Center,,TRUE
ciencia.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
cilab.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
cl.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
clarreo-pathfinder.larc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
cloud-object.larc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
cloudsgate2.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,TRUE
cmr.earthdata.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
cmsflux.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
cneos.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
code.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,,TRUE
coldatomlab.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
commonresearchmodel.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,TRUE
constructionsafety.ssc.nasa.gov,National Aeronautics and Space Administration,NASA Stennis Space Center,,TRUE
cor.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
cor1.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
core2.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
cosmicopia.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
costar.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
cpex.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
cpex-aw.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
cpl.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
csaob.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,TRUE
csbf.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
csdap.earthdata.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
curator.jsc.nasa.gov,National Aeronautics and Space Administration,NASA Johnson Space Center,,TRUE
darktarget.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
dartslab.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
data.giss.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
data.globe.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
data.nas.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
data.nasa.gov,National Aeronautics and Space Administration,NASA Office of the Chief Information Officer,,TRUE
dataentry.globe.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
datascience.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
datasearch.globe.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
dataverse.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Jet Propulsion Laboratory,,TRUE
ddtrb.larc.nasa.gov,National Aeronautics and Space Administration,NASA Langley Research Center,,TRUE
deepspace.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Space Operations Mission Directorate,,TRUE
deltax.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
descanso.jpl.nasa.gov,National Aeronautics and Space Administration,NASA Space Operations Mission Directorate,,TRUE
directreadout.sci.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
disc.gsfc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
discovery.larc.nasa.gov,National Aeronautics and Space Administration,NASA Science Mission Directorate,,TRUE
